ID,Asset ID,Asset Discipline,Asset Roll-Up,Asset Key Cost Line,Asset Key Volume Line,Asset Work Description,Location,Start ELR,Start Mileage,Start Yards,End ELR,End Mileage,End Yards,TID,Remit Status,Deliverer,Project Number,Project Name,Delivery Year ,Volume,Volume CP4 Rollover,"Volume FY 2014/15","Volume FY 2015/16","Volume FY 2016/17","Volume FY 2017/18","Volume FY 2018/19",Total Volume,Funding Source,"Budget CP4 Rollover(£K)","Budget FY 2014/15(£K)","Budget FY 2015/16(£K)","Budget FY 2016/17(£K)","Budget FY 2017/18(£K)","Budget FY 2018/19(£K)","AFC(£K)"
SE - 001266,2/35,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Proactive reduction of a specific risk - poor condition parapets. renewal of cast iron parapets,Arlec's pedestrian bridge No 2/35 - parapet renewal,BML1,9,1078,,0,,,Remitted,IP Wessex: B&C ,"117215140520","Arlec's pedestrian bridge No 2/35 - parapet renewal Footbridges Repair BML1 9m 49c (SE - 001266)CP5 Bridge Renewals - Batch 1",2014/15,90,,90,0,0,0,0,90,Structures,,237.00,,,,,237.00
SE - 001006,E3/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of discrepancy/marginal underbridges.  Add further text.,"Brockenhurst Road Bridge No E3/3, BML 2, 94m 286 yards",BML2,94,0286,,0,,,Remitted,IP Wessex: B&C ,113044,Brockenhurst Rd UB E3/3 Streng,2015/16,304,,,304,0,0,0,304,Structures,933.00,0.00,392.00,,,,"1,325.00"
SE - 001675,17/25,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Reneawl of flattened brick arch with con arch or portal units,Compton Road (B3000) No 17/25,WPH1,32,6100,,32,6100,,Unremitted,IP Wessex: B&C ,"128930140520","Compton Road (B3000) No 17/25CP5 Bridge Renewals - Batch 1",2014/15,37,,37,0,0,0,0,37,Structures,52.00,998.00,,,,,"1,050.00"
SE - 000950,31/9,Structures,Structures - Overbridges BG3,Structures - Overbridges BG3,Structures - Replace," Replacement of overline bridge with pre-cast concrete beams,",Small Mead Bridge No 31/9 (BG3),BKE,38,1738,,0,,,Unremitted,IP Wessex: B&C ,"108373142351","BG3 Small Mead # 31/9 OBCP5 Bridge Renewals - Pkg2",2015/16,60,,0,60,0,0,0,60,Structures,35.00,432.00,547.00,,,,"1,014.00"
SE - 001681,3/5,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of all 4 No decks,York Road Bridge No 3/5,RDG1,4,5500,,4,5500,,Unremitted,IP Wessex: B&C ,"128934142351","York Road Bridge No 3/5CP5 Bridge Renewals - Pkg2",2015/16,340,,0,340,0,0,0,340,Structures,52.00,173.00,"3,563.00",,,,"3,788.00"
SE - 001682,3/6,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of all 4 No decks,Fairfield Street Bridge No 3/6,RDG1,4,1529,,0,,,Unremitted,IP Wessex: B&C ,"128935142351","Fairfield Street Bridge No 3/6CP5 Bridge Renewals - Pkg2",2015/16,280,,0,280,0,0,0,280,Structures,52.00,153.00,"3,380.00",,,,"3,585.00"
SE - 001673,E1/177A,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,superstructure renewal of deck carrying up and down lines,"Winchester Station Subway E/177A, BML1",BML1,66,0800,,0,,,Unremitted,IP Wessex: B&C ,"128929142351","Winchester Station Subway E/17CP5 Bridge Renewals - Pkg2",2016/17,31,,0,0,31,0,0,31,Structures,53.00,66.00,0.00,362.00,,,481.00
SE - 001676,19/1271,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Reconstruction of superstructure with pre-cast concrete beams.,"New Barn No 19/1272, RSJ",RSJ,34,3200,,34,3200,,Unremitted,IP Wessex: B&C ,"128931140520","New Barn No 19/1272, RSJCP5 Bridge Renewals - Batch 1",2015/16,31,,0,31,0,0,0,31,Structures,49.00,46.00,379.00,,,,474.00
SE - 001012,17/80,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,Removal of discrepancy/marginal underbridges.  Strengthen structure.,"Frenchmans Road Bridge No 17/80, WPH 1, 54m 1731 yards",WPH1,54,1738,,0,,,Unremitted,IP Wessex: B&C ,"113049140520","Frenchmans Rd UB 17/80 StrengtCP5 Bridge Renewals - Batch 1",2014/15,36,,36,0,0,0,0,36,Structures,44.00,90.00,,,,,134.00
SE - 001016,17A/19,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepancy/marginal underbridges.  Strengthen structure,"Burnaby Road Bridge No 17A/19, WPH 2, 44m 1715y",WPH2,44,1606,,0,,,Unremitted,IP Wessex: B&C ,"113052140520","Burnaby Rd UB 17A/19 StrengtheCP5 Bridge Renewals - Batch 1",2016/17,124,,0,0,124,0,0,124,Structures,59.00,105.00,,776.00,,,940.00
SE - 001674,2/91C,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,superstructure renewal of deck carrying up and down lines (4no),"Brookwood Station Subway 2/91C, BML1",BML1,27,7700,,27,7700,,Unremitted,IP Wessex: B&C ,"128939140520","Brookwood Station Subway 2/91CCP5 Bridge Renewals - Batch 1",2015/16,41,,0,41,0,0,0,41,Structures,77.00,20.00,108.00,,,,205.00
SE - 001677,31/36,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of London end abutment or installation of concrete box,"Swing Swang Lane No 31/36, BKE",BKE,50,0756,,0,,,Unremitted,IP Wessex: B&C ,"128932140520","Swing Swang Lane No 31/36, BKECP5 Bridge Renewals - Batch 1",2015/16,50,,0,50,0,0,0,50,Structures,44.00,,793.00,,,,837.00
SE - 001683,3/22,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,"Repair, refurbishment and strengthening of structure","Hammersmith Road (Rocks Lane) 3/22, RDG1",RDG1,7,0219,,0,,,Unremitted,IP Wessex: B&C ,128936,Hammersmith Road (Rocks Lane),2016/17,70,,0,0,70,0,0,70,Structures,34.00,,,"1,005.00",,,"1,039.00"
SE - 001684,3/22,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,"Repair, refurbishment and strengthening of structure","Hammersmith Road (Rocks Lane) 3/22, RDG1",RDG1,7,0219,,0,,,Unremitted,IP Wessex: B&C ,128936,Hammersmith Road (Rocks Lane),2016/17,310,,0,0,310,0,0,310,Structures,11.00,,,,,,11.00
SE - 000812,2/W17A,Structures,Structures - Retaining Wall,Structures - Retaining Wall,Structures - Replace,CP4 ROLLOVER -Renewal of poor condition retaining wall (UNFUNDED),Clapham Retaining Wall (Wessex) Str No 2/W17A,BML1,4,0055,,4,0616,,Remitted,IP Wessex: B&C ,105355,Clapham Retaining Wall (Wessex,2015/16,302,,225,77,0,0,0,302,Structures,620.00,"4,687.00","1,198.00",,,,"6,505.00"
SE - 001381,E3/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of discrepancy/marginal underbridges.  Paint and refurbish structure.,"Brockenhurst Road Bridge No E3/3, BML 2, 94m 286 yards",BML2,94,0286,,94,0286,,Remitted,IP Wessex: B&C ,113044,Brockenhurst Rd UB E3/3 Streng,2015/16,95,,,95,0,0,0,95,Structures,207.00,,,,,,207.00
SE - 001475,17A/8A,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,CP4 ROLLOVER - Repair/refurbishment of poor condition Footbridge (UNFUNDED),Clarke's footbridge No 17A/8A,WPH2,43,0867,,0,,,Unremitted,IP Wessex: B&C ,116414,Clarke's 17A/8A Footbridge Pre,2014/15,40,,40,0,0,0,0,40,Structures,,119.00,,,,,119.00
SE - 001483,E3/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,Improvement of Asset Condition - Repair and strengthening of a single span underbridge consisting a metallic superstructure and brick substructure.  The bridge is heavily skewed and carries 2 no. electrified lines over a main road.,"Brockenhurst Road Bridge No E3/3, BML 2, 94m 286 yards",BML2,94,0286,,0,,,Unremitted,IP Wessex: B&C ,113044,Brockenhurst Rd UB E3/3 Streng,2015/16,167,,,167,0,0,0,167,Structures,101.00,,,,,,101.00
SE - 001382,E3/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Removal of discrepancy/marginal underbridges.  Repair and refurbish structure.,"Brockenhurst Road Bridge No E3/3, BML 2, 94m 286 yards",BML2,94,0286,,94,0286,,Remitted,IP Wessex: B&C ,113044,Brockenhurst Rd UB E3/3 Streng,2015/16,80,,,80,0,0,0,80,Structures,51.00,,,,,,51.00
SE - 001167,17/26,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Preventative,Strengthen and repaint with steelwork repairs,Pedestrian Footbridge WPH1 17/26 at 33m 1267y,WPH1,33,1267,,0,,,Unremitted,IP Wessex: B&C ,"116193140520","CP5 Bridge Renewals - Batch 1",2016/17,92,,0,0,92,0,0,92,Structures,,,0.00,453.00,,,453.00
SE - 000769,EW1/5,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Reconstruction of weak overline bridge -Job deferred to 2019/20 - not part of RAB,Park Road Bridge No. EW1/5,IOW,1,0022,,0,,,Unremitted,IP Wessex: B&C ,105446,Park Road O/B No. EW 1/5 Repla,2018/19,0,,0,0,0,0,0,0,Structures,,,,,,45.00,45.00
SE - 001018,1/A30,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of weak underline bridge,"Upper Kennington Lane Bridge No 1/A30 BML1/RDG 1, 1m 605 yards",BML1,1,0616,,0,,,Unremitted,IP Wessex: B&C ,113054,Upp Kennington Ln UB 1/A30 Str,2016/17,952,,0,0,952,0,0,952,Structures,,,100.00,"2,673.00",,,"2,773.00"
SE - 001267,14/FA1,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,removal of redundant asset,Bowkers Bridge No E1/193A - removal of footbridge,BML1,70,0528,,0,,,,IP Wessex: B&C ,"117216140520","Bowkers Bridge No E1/193A - removal of footbridge Footbridges Replace BML1 70m 24c (SE - 001267)CP5 Bridge Renewals - Batch 1",2016/17,45,,0,0,45,0,0,45,Structures,,0.00,,223.00,,,223.00
SE - 000951,31/9,Structures,Structures - Overbridges BG3,Structures - Overbridges BG3,Structures - Replace,Third party contribution,Small Mead Bridge No 31/9 (BG3),BKE,38,1738,,0,,,Unremitted,IP Wessex: B&C ,108373,BG3 Small Mead # 31/9 OB,2014/15,0,,0,0,0,0,0,0,Structures,-6.00,-23.00,,,,,-29.00
SE - 001687,3/22,Structures,Structures - Overbridges BG3,Structures - Overbridges BG3,Third Party Contribution,Third party contribution,"Hammersmith Road (Rocks Lane) 3/22, RDG1",RDG1,7,0219,,0,,,Unremitted,IP Wessex: B&C ,128936,Hammersmith Road (Rocks Lane),2016/17,-40,,0,0,-40,0,0,-40,Structures,-10.00,,,-38.00,,,-48.00
WEX - 000034,2/W17A,Structures,Structures - Retaining Wall,Structures - Retaining Wall,Structures - Replace,CP4 ROLLOVER -Third Party Contribution,Clapham Retaining Wall (Wessex) Str No 2/W17A,0,0,0000,,0,,,,IP Wessex: B&C ,,,2014/15,0,,0,0,0,0,0,0,Structures,,"-1,500.00",,,,,"-1,500.00"
WEX - 000036,2/100,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of discrepancy/marginal underbridges - reconstuction and refurb,Intersection Bridge (over Ascot - Aldershot line) BML1 2/100 at 32m 0320y,BML1,32,0320,,0,,,Remitted,IP Wessex: B&C ,"116303140520","BML1 2/100 Intersection UB RepCP5 Bridge Renewals - Batch 1",2014/15,66,,66,0,0,0,0,66,Structures,,215.00,,,,,215.00
WEX - 000037,17/80,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Refurbishment of structure - improvement in condition,"Frenchmans Road Bridge No 17/80, WPH 1, 54m 1731 yards",WPH1,54,1738,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,206,,206,0,0,0,0,206,Structures,,249.00,0.00,,,,249.00
WEX - 000038,E13/23,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Maintain asset condition - preventative works,Knowle Viaduct E13/23 ETF,ETF,81,1666,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,607,,0,0,607,0,0,607,Structures,,,,438.00,,,438.00
WEX - 000039,E4/484,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Fenny Bridges Viaduct,BAE2,157,1666,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2015/16,459,,459,215,0,0,0,674,Structures,,243.00,122.00,,,,365.00
WEX - 000040,E13/4,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Six Arches Viaduct (River Itchen),ETF,74,0915,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2015/16,535,,0,535,0,0,0,535,Structures,,,360.00,,,,360.00
WEX - 000041,E4/148,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Three Arch (Andover),BAE1,52,0810,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,306,,306,0,0,0,0,306,Structures,,259.00,,,,,259.00
WEX - 000042,E4/301,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Motcombe Road,BAE2,102,1182,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,83,,83,0,0,0,0,83,Structures,,134.00,,,,,134.00
WEX - 000045,E11/11,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Winchester Road (Sun Arch),ECR,80,0375,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2015/16,148,,0,148,0,0,0,148,Structures,,0.00,148.00,,,,148.00
WEX - 000048,E4/505,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Underbridge Culvert,BAE2,163,0517,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2016/17,55,,0,0,55,0,0,55,Structures,,,,107.00,,,107.00
WEX - 000050,E30/134,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Compton Viaduct (River Yeo),WEY,140,0794,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2015/16,159,,0,106,0,0,0,106,Structures,,8.00,202.00,,,,210.00
WEX - 000051,17/70,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,Improvement in asset condition - brick masonry repairs,River Rother (2),WPH1,51,1289,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,43,,43,0,0,0,0,43,Structures,,282.00,,,,,282.00
WEX - 000054,13/7,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Hogsmill (River Ewell),RPE,12,1012,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2014/15,100,,100,0,0,0,0,100,Structures,,109.00,,,,,109.00
WEX - 000055,E16/2,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs,Quay Viaduct,SDP2,84,1715,,0,,,Unremitted,IP Wessex: B&C ,140520,CP5 Bridge Renewals - Batch 1,2015/16,"1,554",,0,782,0,0,0,782,Structures,,188.00,886.00,,,,"1,074.00"
WEX - 000056,E4/375,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,Improvement in asset condition - brick masonry repairs and saddle,Kit Hill,BAE2,126,0285,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,94,,0,94,0,0,0,94,Structures,,55.00,473.00,,,,528.00
WEX - 000057,3/34,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Maintain asset condition - preventative works to represent LWLC,River Thames (Richmond),RDG1,10,0522,,0,,,Remitted,IP Wessex: B&C ,,,,0,,0,0,0,0,0,0,Structures,,,,,,,0.00
WEX - 000058,E11/53,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Replace,Replacement of understrength pedestrian footbridge,Church Path Pedestrian Bridge,RTJ2,95,0346,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,55,,0,0,0,0,55,55,Structures,,,,,28.00,253.00,281.00
WEX - 000059,E30/192,Structures,Structures - Tunnels,Structures - Tunnels,Structures - Repair,Improvement in asset condition - renewal of tunnel lining,Grimstone Tunnel,WEY,156,1541,,157,0441,,Unremitted,IP Wessex: B&C ,140523,CP5 Tunnel Repairs - Batch 1,2014/15,480,,480,0,0,0,0,480,Structures,,303.00,,,,,303.00
WEX - 000060,E4/467,Structures,Structures - Tunnels,Structures - Tunnels,Structures - Repair,Improvement in asset condition - renewal of tunnel lining,Honiton Tunnel,BAE2,152,0986,,153,0577,,Unremitted,IP Wessex: B&C ,,,2016/17,"6,708",,0,0,"6,708",0,0,6708,Structures,,,106.00,"2,253.00",,,"2,359.00"
WEX - 000061,E3/41,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of marginal underbridge in poor condition - removal of maintenace liability,River Avon,BML2,104,0068,,0,,,Unremitted,IP Wessex: B&C ,134665,Avon & Stour Underbridge renewal,2015/16,947,,0,947,0,0,0,947,Structures,,186.00,"3,391.00",,,,"3,577.00"
WEX - 000062,E20/6,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of marginal underbridge in poor condition - removal of maintenace liability,River Stour,BML2,104,1267,,0,,,Unremitted,IP Wessex: B&C ,134665,Avon & Stour Underbridge renewal,2015/16,766,,0,383,0,0,0,383,Structures,,158.00,"3,051.00",,,,"3,209.00"
WEX - 000063,E2/23,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstuction of short span trough bridge - possibly box culvert,Shallow Bottom,BML2,88,0785,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2016/17,30,,0,0,30,0,0,30,Structures,,36.00,0.00,330.00,,,366.00
WEX - 000064,E1/202,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Infill of poor condition short span underbridge,Stoneham Farm,BML2,74,0885,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2016/17,31,,0,,31,0,0,31,Structures,,84.00,0.00,337.00,,,421.00
WEX - 000065,3/5A,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of maintenance liability - longitudinal wheel timber structure with poor track/structure interface,Wandsworth Town Station Subway,RDG1,4,1272,,0,,,Unremitted,IP Wessex: B&C ,143379,Wandsworth Town Station Subway,2015/16,86,,50,36,0,0,0,86,Structures,,362.00,207.00,,,,569.00
WEX - 000066,15/7,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of understrength underbridge - reconstruct superstructure,Government Road,NGL,15,1556,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,52,,0,0,52,0,0,52,Structures,,,52.00,470.00,,,522.00
WEX - 000067,15/8,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of understrength underbridge - reconstruct superstructure,Birchwood Lane Bridge,NGL,16,0065,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,72,,0,0,72,0,0,72,Structures,,,65.00,579.00,,,644.00
WEX - 000068,15/6,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of understrength underbridge - reconstruct superstructure,Government Bridge,NGL,15,1131,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,83,,0,0,83,0,0,83,Structures,,,70.00,635.00,,,705.00
WEX - 000069,15/20,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of understrength underbridge - reconstruct superstructure,Coombes' Farm Bridge,NGL,19,0709,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,78,,0,0,78,0,0,78,Structures,,,67.00,611.00,,,678.00
WEX - 000070,E1/172,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstuction of poor condition masonry arch underbridge ,Millsden Lane/Down Farm Lane,BML1,64,1323,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,52,,0,52,0,0,0,52,Structures,,550.00,848.00,,,,"1,398.00"
WEX - 000071,31/27,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of poor condition masonry arch underbridge,Broad Street (MOD),BKE,47,1103,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,59,,0,59,0,0,0,59,Structures,,82.00,303.00,,,,385.00
WEX - 000072,E2/10,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Reconstruction of short span trough underbridge,Tanner's Brook,BML2,80,1604,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2016/17,100,,0,0,100,0,0,100,Structures,,118.00,,713.00,,,831.00
WEX - 000073,E2/6B,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,Removal of safety hazard -Repair of defective concrete encased beams,Four Post Hill - Overbridge at Southampton Central,BML2,79,0452,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,300,,0,300,0,0,0,300,Structures,,66.00,94.00,,,,160.00
WEX - 000077,17/13,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,Refurbishment and repair of poor condition overbridge,Stoughton Lane,WPH1,29,0314,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,10,,0,0,0,0,10,10,Structures,,,,,8.00,72.00,80.00
WEX - 000078,17/13,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,Refurbishment and repair of poor condition overbridge,Stoughton Lane,WPH1,29,0314,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,41,,0,0,0,0,41,41,Structures,,,,,7.00,39.00,46.00
WEX - 000079,2/52,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Claygate Lane (ML & NL),BML1,13,0897,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,153,,0,0,0,0,153,153,Structures,,,,,21.00,188.00,209.00
WEX - 000080,2/52,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Claygate Lane (ML & NL),BML1,13,0897,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,10,,0,0,0,0,10,10,Structures,,,,,5.00,46.00,51.00
WEX - 000081,2/52,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Claygate Lane (ML & NL),BML1,13,0897,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,30,,0,0,0,0,30,30,Structures,,,,,12.00,109.00,121.00
